Date,Close,High,Low,Open,Volume,RSI,MA20,MACD,BB_high,BB_low,Return_1d,Volume_z,Ticker
2024-05-21,422.40167236328125,426.27085809319817,418.27649987771593,420.2258450310574,21453300,64.23886896516701,403.84742126464846,3.7553694419392514,424.4159952674451,383.2788472618518,0.008698946180307976,0.26657594623504366,MSFT
2024-05-22,423.8587341308594,425.71950537683756,420.5212017999642,423.43539455106486,18073700,65.2133558683359,404.94007415771483,4.466556894473115,427.24932781466356,382.6308205007661,0.003449469694156493,-0.2540326930549836,MSFT
2024-05-23,420.3931884765625,426.89107515061806,418.83764844643395,426.2708180980622,17211700,60.95856845886322,406.3518096923828,4.696400323386513,428.8199363856518,383.88368299911383,-0.008176180824498336,-0.30250432657902604,MSFT
2024-05-24,423.5043029785156,424.39037161476875,417.84327052223153,420.58025544710625,11855300,63.27506374439845,407.5613784790039,5.071136926555596,430.9685765700643,384.15418038794354,0.00740048741804622,-1.4356810532649171,MSFT
2024-05-28,423.661865234375,424.15412896604386,419.999421868943,422.9825388810405,15718000,63.39352721439271,408.9788162231445,5.319512314958274,432.67905933935987,385.2785731069292,0.0003720440494965338,-0.44390861379113195,MSFT
2024-05-29,422.5296630859375,424.27226587320916,419.1034967099491,419.1034967099491,15517100,61.84963489286809,410.9745040893555,5.363169073917334,432.03382326331456,389.9151849153964,-0.002672419307343521,-0.431935664661521,MSFT
2024-05-30,408.2539978027344,417.7349716036768,407.8306281783295,417.7349716036768,28394500,46.47915625497525,411.98074493408205,4.197454841690501,430.325861836439,393.6356280317251,-0.03378618480638984,2.9760063924763314,MSFT
2024-05-31,408.70684814453125,410.3017776619535,398.2511723788605,410.3017776619535,47995300,46.92970808136641,412.86712951660155,3.2724365406681954,428.59388825088035,397.14037078232275,0.0011092367600420427,3.7256488662117366,MSFT
2024-06-03,407.1217041015625,409.9866820502357,402.59290271558996,409.10061352017095,17484700,45.48626134829263,413.24086303710936,2.3839641413892423,428.0199032367737,398.461822837445,-0.003878437687464875,-0.14494788094447839,MSFT
2024-06-04,409.63226318359375,409.99653346155753,403.3411195872324,406.0485695449918,14348900,48.20357096254037,413.40205535888674,1.8609723691088789,427.9479837062583,398.8561270115152,0.006166605849647677,-0.522579206132112,MSFT
